------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -2.20567e-25
           0.0344828,          1.04975e-09
           0.0689655,          2.42719e-09
            0.103448,          4.40804e-09
            0.137931,          7.06448e-09
            0.172414,          1.00959e-08
            0.206897,          1.29496e-08
            0.241379,          1.52445e-08
            0.275862,          1.70125e-08
            0.310345,          1.85967e-08
            0.344828,          2.05037e-08
             0.37931,           2.3353e-08
            0.413793,          2.77801e-08
            0.448276,          3.40493e-08
            0.482759,          4.14697e-08
            0.517241,          4.85153e-08
            0.551724,          5.39675e-08
            0.586207,           5.7634e-08
             0.62069,          6.00074e-08
            0.655172,          6.17327e-08
            0.689655,          6.33798e-08
            0.724138,          6.53853e-08
            0.758621,          6.79497e-08
            0.793103,          7.08817e-08
            0.827586,          7.36609e-08
            0.862069,          7.58283e-08
            0.896552,           7.7269e-08
            0.931034,          7.81269e-08
            0.965517,          7.86045e-08
                   1,          7.88604e-08

