------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -2.93595e-25
          0.00502513,          2.49416e-09
           0.0100503,          4.78655e-09
           0.0150754,          6.73581e-09
           0.0201005,          8.28661e-09
           0.0251256,           9.4564e-09
           0.0301508,          1.03038e-08
           0.0351759,          1.08998e-08
            0.040201,          1.13104e-08
           0.0452261,          1.15892e-08
           0.0502513,          1.17767e-08
           0.0552764,           1.1902e-08
           0.0603015,          1.19853e-08
           0.0653266,          1.20405e-08
           0.0703518,           1.2077e-08
           0.0753769,          1.21012e-08
            0.080402,          1.21172e-08
           0.0854271,          1.21277e-08
           0.0904523,          1.21346e-08
           0.0954774,          1.21392e-08
            0.100503,          1.21422e-08
            0.105528,          1.21442e-08
            0.110553,          1.21456e-08
            0.115578,          1.21464e-08
            0.120603,           1.2147e-08
            0.125628,          1.21474e-08
            0.130653,          1.21476e-08
            0.135678,          1.21478e-08
            0.140704,          1.21479e-08
            0.145729,           1.2148e-08
            0.150754,          1.21481e-08
            0.155779,          1.21481e-08
            0.160804,          1.21482e-08
            0.165829,          1.21482e-08
            0.170854,          1.21483e-08
            0.175879,          1.21485e-08
            0.180905,          1.21487e-08
             0.18593,           1.2149e-08
            0.190955,          1.21495e-08
             0.19598,          1.21502e-08
            0.201005,          1.21513e-08
             0.20603,           1.2153e-08
            0.211055,          1.21556e-08
             0.21608,          1.21594e-08
            0.221106,          1.21653e-08
            0.226131,          1.21741e-08
            0.231156,          1.21876e-08
            0.236181,          1.22079e-08
            0.241206,          1.22385e-08
            0.246231,          1.22847e-08
            0.251256,          1.23541e-08
            0.256281,          1.24578e-08
            0.261307,          1.26118e-08
            0.266332,          1.28378e-08
            0.271357,          1.31645e-08
            0.276382,          1.36258e-08
            0.281407,          1.42567e-08
            0.286432,          1.50821e-08
            0.291457,           1.6102e-08
            0.296482,          1.72766e-08
            0.301508,          1.85248e-08
            0.306533,          1.97429e-08
            0.311558,          2.08373e-08
            0.316583,          2.17504e-08
            0.321608,          2.24674e-08
            0.326633,          2.30058e-08
            0.331658,          2.33993e-08
            0.336683,          2.36854e-08
            0.341709,          2.38988e-08
            0.346734,          2.40695e-08
            0.351759,          2.42235e-08
            0.356784,          2.43853e-08
            0.361809,          2.45801e-08
            0.366834,          2.48362e-08
            0.371859,          2.51863e-08
            0.376884,          2.56668e-08
             0.38191,          2.63129e-08
            0.386935,          2.71484e-08
             0.39196,          2.81699e-08
            0.396985,          2.93343e-08
             0.40201,           3.0559e-08
            0.407035,          3.17422e-08
             0.41206,           3.2795e-08
            0.417085,          3.36653e-08
            0.422111,           3.4342e-08
            0.427136,          3.48435e-08
            0.432161,          3.52021e-08
            0.437186,          3.54521e-08
            0.442211,          3.56233e-08
            0.447236,          3.57392e-08
            0.452261,          3.58171e-08
            0.457286,          3.58693e-08
            0.462312,          3.59045e-08
            0.467337,          3.59284e-08
            0.472362,          3.59451e-08
            0.477387,          3.59575e-08
            0.482412,          3.59672e-08
            0.487437,          3.59758e-08
            0.492462,          3.59837e-08
            0.497487,          3.59914e-08
            0.502513,          3.59986e-08
            0.507538,          3.60053e-08
            0.512563,           3.6011e-08
            0.517588,          3.60157e-08
            0.522613,          3.60195e-08
            0.527638,          3.60224e-08
            0.532663,          3.60249e-08
            0.537688,          3.60271e-08
            0.542714,          3.60294e-08
            0.547739,          3.60321e-08
            0.552764,          3.60357e-08
            0.557789,          3.60407e-08
            0.562814,          3.60477e-08
            0.567839,          3.60573e-08
            0.572864,          3.60705e-08
            0.577889,          3.60878e-08
            0.582915,          3.61094e-08
             0.58794,           3.6135e-08
            0.592965,          3.61634e-08
             0.59799,           3.6193e-08
            0.603015,          3.62221e-08
             0.60804,          3.62489e-08
