------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -3.58042e-24
          0.00502513,          5.94395e-10
           0.0100503,          1.17773e-09
           0.0150754,          1.73977e-09
           0.0201005,          2.27174e-09
           0.0251256,          2.76687e-09
           0.0301508,          3.22053e-09
           0.0351759,          3.63028e-09
            0.040201,          3.99559e-09
           0.0452261,          4.31753e-09
           0.0502513,          4.59837e-09
           0.0552764,          4.84118e-09
           0.0603015,           5.0495e-09
           0.0653266,          5.22704e-09
           0.0703518,          5.37751e-09
           0.0753769,          5.50442e-09
            0.080402,          5.61103e-09
           0.0854271,          5.70029e-09
           0.0904523,           5.7748e-09
           0.0954774,          5.83685e-09
            0.100503,          5.88843e-09
            0.105528,          5.93124e-09
            0.110553,          5.96671e-09
            0.115578,          5.99608e-09
            0.120603,          6.02037e-09
            0.125628,          6.04044e-09
            0.130653,          6.05702e-09
            0.135678,           6.0707e-09
            0.140704,            6.082e-09
            0.145729,          6.09133e-09
            0.150754,          6.09902e-09
            0.155779,          6.10537e-09
            0.160804,          6.11062e-09
            0.165829,          6.11496e-09
            0.170854,          6.11855e-09
            0.175879,          6.12153e-09
            0.180905,          6.12402e-09
             0.18593,          6.12611e-09
            0.190955,          6.12787e-09
             0.19598,          6.12939e-09
            0.201005,          6.13071e-09
             0.20603,          6.13188e-09
            0.211055,          6.13297e-09
             0.21608,            6.134e-09
            0.221106,          6.13502e-09
            0.226131,          6.13607e-09
            0.231156,          6.13719e-09
            0.236181,          6.13842e-09
            0.241206,          6.13981e-09
            0.246231,          6.14141e-09
            0.251256,          6.14329e-09
            0.256281,          6.14551e-09
            0.261307,          6.14816e-09
            0.266332,          6.15133e-09
            0.271357,          6.15515e-09
            0.276382,          6.15975e-09
            0.281407,          6.16531e-09
            0.286432,          6.17202e-09
            0.291457,          6.18012e-09
            0.296482,           6.1899e-09
            0.301508,          6.20169e-09
            0.306533,          6.21588e-09
            0.311558,          6.23295e-09
            0.316583,          6.25342e-09
            0.321608,          6.27793e-09
            0.326633,          6.30717e-09
            0.331658,          6.34194e-09
            0.336683,           6.3831e-09
            0.341709,          6.43158e-09
            0.346734,          6.48835e-09
            0.351759,          6.55437e-09
            0.356784,          6.63051e-09
            0.361809,          6.71753e-09
            0.366834,          6.81592e-09
            0.371859,          6.92584e-09
            0.376884,          7.04703e-09
             0.38191,          7.17872e-09
            0.386935,          7.31957e-09
             0.39196,          7.46774e-09
            0.396985,          7.62094e-09
             0.40201,           7.7766e-09
            0.407035,          7.93205e-09
             0.41206,          8.08472e-09
            0.417085,          8.23239e-09
            0.422111,           8.3733e-09
            0.427136,          8.50624e-09
            0.432161,          8.63064e-09
            0.437186,          8.74647e-09
            0.442211,          8.85421e-09
            0.447236,          8.95471e-09
            0.452261,          9.04912e-09
            0.457286,          9.13874e-09
            0.462312,          9.22494e-09
            0.467337,          9.30903e-09
            0.472362,           9.3922e-09
            0.477387,          9.47544e-09
            0.482412,           9.5595e-09
            0.487437,          9.64482e-09
            0.492462,          9.73156e-09
            0.497487,           9.8196e-09
            0.502513,          9.90862e-09
            0.507538,          9.99815e-09
            0.512563,          1.00877e-08
            0.517588,          1.01769e-08
            0.522613,          1.02654e-08
            0.527638,          1.03534e-08
            0.532663,           1.0441e-08
            0.537688,          1.05288e-08
            0.542714,          1.06177e-08
            0.547739,          1.07087e-08
            0.552764,           1.0803e-08
            0.557789,          1.09016e-08
            0.562814,          1.10058e-08
            0.567839,          1.11163e-08
            0.572864,          1.12338e-08
            0.577889,          1.13584e-08
            0.582915,          1.14897e-08
             0.58794,          1.16268e-08
            0.592965,          1.17683e-08
             0.59799,          1.19125e-08
            0.603015,           1.2057e-08
             0.60804,          1.21996e-08
            0.613065,          1.23382e-08
             0.61809,          1.24708e-08
            0.623116,          1.25957e-08
            0.628141,           1.2712e-08
            0.633166,          1.28191e-08
            0.638191,          1.29168e-08
            0.643216,          1.30055e-08
            0.648241,          1.30858e-08
            0.653266,          1.31585e-08
            0.658291,          1.32248e-08
            0.663317,          1.32855e-08
            0.668342,          1.33417e-08
            0.673367,          1.33943e-08
            0.678392,          1.34442e-08
            0.683417,           1.3492e-08
            0.688442,          1.35383e-08
            0.693467,          1.35835e-08
            0.698492,          1.36278e-08
            0.703518,          1.36714e-08
            0.708543,          1.37145e-08
            0.713568,          1.37572e-08
            0.718593,          1.37997e-08
            0.723618,          1.38422e-08
            0.728643,           1.3885e-08
            0.733668,          1.39287e-08
            0.738693,          1.39736e-08
            0.743719,          1.40205e-08
            0.748744,            1.407e-08
            0.753769,          1.41225e-08
            0.758794,          1.41787e-08
            0.763819,          1.42389e-08
            0.768844,          1.43033e-08
            0.773869,           1.4372e-08
            0.778894,          1.44446e-08
             0.78392,          1.45206e-08
            0.788945,          1.45993e-08
             0.79397,          1.46796e-08
            0.798995,          1.47606e-08
             0.80402,          1.48412e-08
            0.809045,          1.49205e-08
             0.81407,          1.49976e-08
            0.819095,          1.50722e-08
            0.824121,           1.5144e-08
            0.829146,           1.5213e-08
            0.834171,          1.52798e-08
            0.839196,          1.53449e-08
            0.844221,          1.54092e-08
            0.849246,          1.54735e-08
            0.854271,          1.55389e-08
            0.859296,          1.56064e-08
            0.864322,          1.56768e-08
            0.869347,          1.57508e-08
            0.874372,          1.58291e-08
            0.879397,          1.59117e-08
            0.884422,          1.59987e-08
            0.889447,          1.60894e-08
            0.894472,          1.61831e-08
            0.899497,          1.62786e-08
            0.904523,          1.63746e-08
            0.909548,          1.64697e-08
            0.914573,          1.65623e-08
            0.919598,          1.66513e-08
            0.924623,          1.67354e-08
            0.929648,           1.6814e-08
            0.934673,          1.68866e-08
            0.939698,          1.69531e-08
            0.944724,          1.70135e-08
            0.949749,          1.70683e-08
            0.954774,           1.7118e-08
            0.959799,          1.71632e-08
            0.964824,          1.72045e-08
            0.969849,          1.72427e-08
            0.974874,          1.72785e-08
            0.979899,          1.73123e-08
            0.984925,          1.73449e-08
             0.98995,          1.73766e-08
            0.994975,          1.74079e-08
                   1,          1.74392e-08

