------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,          -3.1158e-24
          0.00502513,          3.81845e-09
           0.0100503,          5.50441e-09
           0.0150754,          5.98207e-09
           0.0201005,           6.0989e-09
           0.0251256,          6.12642e-09
           0.0301508,          6.13284e-09
           0.0351759,          6.13434e-09
            0.040201,          6.13468e-09
           0.0452261,          6.13476e-09
           0.0502513,          6.13478e-09
           0.0552764,          6.13479e-09
           0.0603015,          6.13479e-09
           0.0653266,          6.13479e-09
           0.0703518,          6.13479e-09
           0.0753769,          6.13479e-09
            0.080402,          6.13479e-09
           0.0854271,          6.13479e-09
           0.0904523,          6.13479e-09
           0.0954774,          6.13479e-09
            0.100503,          6.13479e-09
            0.105528,          6.13479e-09
            0.110553,          6.13479e-09
            0.115578,          6.13479e-09
            0.120603,          6.13479e-09
            0.125628,          6.13479e-09
            0.130653,          6.13479e-09
            0.135678,          6.13479e-09
            0.140704,          6.13479e-09
            0.145729,          6.13479e-09
            0.150754,          6.13479e-09
            0.155779,          6.13479e-09
            0.160804,          6.13479e-09
            0.165829,          6.13479e-09
            0.170854,          6.13479e-09
            0.175879,          6.13479e-09
            0.180905,          6.13479e-09
             0.18593,          6.13479e-09
            0.190955,          6.13479e-09
             0.19598,          6.13479e-09
            0.201005,          6.13479e-09
             0.20603,          6.13479e-09
            0.211055,          6.13479e-09
             0.21608,          6.13479e-09
            0.221106,          6.13479e-09
            0.226131,          6.13479e-09
            0.231156,          6.13479e-09
            0.236181,          6.13479e-09
            0.241206,          6.13479e-09
            0.246231,          6.13479e-09
            0.251256,          6.13479e-09
            0.256281,          6.13479e-09
            0.261307,          6.13479e-09
            0.266332,          6.13479e-09
            0.271357,          6.13479e-09
            0.276382,          6.13479e-09
            0.281407,          6.13479e-09
            0.286432,          6.13479e-09
            0.291457,          6.13479e-09
            0.296482,          6.13479e-09
            0.301508,          6.13479e-09
            0.306533,          6.13479e-09
            0.311558,          6.13479e-09
            0.316583,          6.13479e-09
            0.321608,          6.13479e-09
            0.326633,          6.13479e-09
            0.331658,          6.13479e-09
            0.336683,          6.13479e-09
            0.341709,          6.13479e-09
            0.346734,          6.13479e-09
            0.351759,          6.13479e-09
            0.356784,           6.1348e-09
            0.361809,          6.13484e-09
            0.366834,          6.13499e-09
            0.371859,          6.13566e-09
            0.376884,          6.13854e-09
             0.38191,          6.15084e-09
            0.386935,           6.2027e-09
             0.39196,          6.40722e-09
            0.396985,          7.04128e-09
             0.40201,          8.10993e-09
            0.407035,          8.85636e-09
             0.41206,          9.11878e-09
            0.417085,          9.18728e-09
            0.422111,          9.20367e-09
            0.427136,          9.20751e-09
            0.432161,           9.2084e-09
            0.437186,          9.20861e-09
            0.442211,          9.20866e-09
            0.447236,          9.20867e-09
            0.452261,          9.20868e-09
            0.457286,          9.20868e-09
            0.462312,           9.2087e-09
            0.467337,          9.20877e-09
            0.472362,          9.20907e-09
            0.477387,          9.21037e-09
            0.482412,           9.2159e-09
            0.487437,          9.23921e-09
            0.492462,          9.33103e-09
            0.497487,          9.61633e-09
            0.502513,             1.01e-08
            0.507538,          1.04401e-08
            0.512563,          1.05601e-08
            0.517588,          1.05914e-08
            0.522613,          1.05989e-08
            0.527638,          1.06007e-08
            0.532663,          1.06011e-08
            0.537688,          1.06012e-08
            0.542714,          1.06012e-08
            0.547739,          1.06012e-08
            0.552764,          1.06012e-08
            0.557789,          1.06012e-08
            0.562814,          1.06013e-08
            0.567839,          1.06015e-08
            0.572864,          1.06023e-08
            0.577889,          1.06057e-08
            0.582915,          1.06204e-08
             0.58794,          1.06817e-08
            0.592965,          1.09173e-08
             0.59799,          1.15934e-08
            0.603015,           1.2574e-08
             0.60804,          1.31611e-08
            0.613065,          1.33513e-08
             0.61809,          1.33996e-08
            0.623116,          1.34111e-08
            0.628141,          1.34138e-08
            0.633166,          1.34144e-08
            0.638191,          1.34146e-08
            0.643216,          1.34146e-08
            0.648241,          1.34146e-08
            0.653266,          1.34146e-08
            0.658291,          1.34146e-08
            0.663317,          1.34146e-08
            0.668342,          1.34147e-08
            0.673367,          1.34148e-08
            0.678392,          1.34155e-08
            0.683417,          1.34185e-08
            0.688442,          1.34309e-08
            0.693467,          1.34778e-08
            0.698492,          1.36046e-08
            0.703518,          1.37719e-08
            0.708543,          1.38679e-08
            0.713568,          1.39063e-08
            0.718593,          1.39218e-08
            0.723618,          1.39267e-08
            0.728643,           1.3928e-08
            0.733668,          1.39283e-08
            0.738693,          1.39284e-08
            0.743719,          1.39284e-08
            0.748744,          1.39284e-08
            0.753769,          1.39285e-08
            0.758794,          1.39286e-08
            0.763819,          1.39294e-08
            0.768844,          1.39328e-08
            0.773869,           1.3947e-08
            0.778894,          1.40044e-08
             0.78392,          1.41996e-08
            0.788945,          1.46051e-08
             0.79397,          1.49852e-08
            0.798995,          1.52074e-08
             0.80402,          1.53474e-08
            0.809045,          1.54095e-08
             0.81407,          1.54277e-08
            0.819095,          1.54322e-08
            0.824121,          1.54332e-08
            0.829146,          1.54335e-08
            0.834171,          1.54335e-08
            0.839196,          1.54335e-08
            0.844221,          1.54335e-08
            0.849246,          1.54335e-08
            0.854271,          1.54335e-08
            0.859296,          1.54335e-08
            0.864322,          1.54336e-08
            0.869347,          1.54337e-08
            0.874372,          1.54343e-08
            0.879397,          1.54368e-08
            0.884422,          1.54475e-08
            0.889447,          1.54915e-08
            0.894472,          1.56514e-08
            0.899497,          1.60434e-08
            0.904523,           1.6506e-08
            0.909548,           1.6839e-08
            0.914573,          1.71004e-08
            0.919598,          1.72401e-08
            0.924623,          1.72847e-08
            0.929648,           1.7296e-08
            0.934673,          1.72987e-08
            0.939698,          1.72993e-08
            0.944724,          1.72994e-08
            0.949749,          1.72995e-08
            0.954774,          1.72995e-08
            0.959799,          1.72995e-08
            0.964824,          1.72996e-08
            0.969849,          1.72998e-08
            0.974874,           1.7301e-08
            0.979899,          1.73055e-08
            0.984925,          1.73195e-08
             0.98995,          1.73468e-08
            0.994975,          1.73885e-08
                   1,          1.74591e-08

