------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -3.08801e-30
           0.0344828,          5.37225e-13
           0.0689655,           9.3916e-12
            0.103448,          1.62318e-10
            0.137931,          2.46075e-09
            0.172414,           1.3107e-08
            0.206897,          1.74335e-08
            0.241379,            1.777e-08
            0.275862,          1.77897e-08
            0.310345,          1.77909e-08
            0.344828,          1.77929e-08
             0.37931,          1.78251e-08
            0.413793,          1.83801e-08
            0.448276,          2.61203e-08
            0.482759,          5.26123e-08
            0.517241,          6.10754e-08
            0.551724,          6.17079e-08
            0.586207,          6.17449e-08
             0.62069,           6.1747e-08
            0.655172,          6.17476e-08
            0.689655,          6.17557e-08
            0.724138,          6.18949e-08
            0.758621,          6.40078e-08
            0.793103,          7.43139e-08
            0.827586,           7.8764e-08
            0.862069,          7.91168e-08
            0.896552,          7.91375e-08
            0.931034,          7.91387e-08
            0.965517,          7.91388e-08
                   1,          7.91388e-08

