------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,                    0
           0.0344828,                    0
           0.0689655,                    0
            0.103448,                    0
            0.137931,                    0
            0.172414,          1.77909e-08
            0.206897,          1.77909e-08
            0.241379,          1.77909e-08
            0.275862,          1.77909e-08
            0.310345,          1.77909e-08
            0.344828,          1.77909e-08
             0.37931,          1.77909e-08
            0.413793,          1.77909e-08
            0.448276,          1.77909e-08
            0.482759,          1.48592e-08
            0.517241,          1.48592e-08
            0.551724,          1.48592e-08
            0.586207,          1.48592e-08
             0.62069,          1.48592e-08
            0.655172,          1.48592e-08
            0.689655,          1.15244e-08
            0.724138,          1.15244e-08
            0.758621,          1.15244e-08
            0.793103,          1.15244e-08
            0.827586,          1.15244e-08
            0.862069,          1.15244e-08
            0.896552,          1.15244e-08
            0.931034,          1.15244e-08
            0.965517,          1.15244e-08
                   1,          3.59349e-08

