------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         4.160344e-05
                 0.2,         4.680955e-05
                 0.3,         4.586788e-05
                 0.4,         4.791661e-05
                 0.5,          4.69326e-05
                 0.6,          4.88293e-05
                 0.7,         4.655967e-05
                 0.8,         4.841882e-05
                 0.9,         4.772878e-05
                   1,         4.656843e-05

