------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         1.487114e-05
                 0.2,           2.0448e-05
                 0.3,         1.911127e-05
                 0.4,          1.27911e-05
                 0.5,          7.41611e-06
                 0.6,         2.151081e-05
                 0.7,         1.964366e-05
                 0.8,         3.921118e-06
                 0.9,          3.53026e-05
                   1,         2.048107e-09

