------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         9.880076e-06
                 0.1,         1.509012e-05
                 0.2,         2.089164e-05
                 0.3,         2.778721e-05
                 0.4,         3.629161e-05
                 0.5,         4.339295e-05
                 0.6,         4.725358e-05
                 0.7,         5.588159e-05
                 0.8,         6.424717e-05
                 0.9,         7.070278e-05
                   1,         7.658603e-05
                 1.1,         8.193062e-05
                 1.2,         8.649189e-05
                 1.3,         9.003867e-05
                 1.4,         9.317698e-05
                 1.5,         9.532212e-05

