------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         4.383313e-11
                 0.1,          3.88219e-10
                 0.2,          3.14843e-09
                 0.3,         2.193771e-08
                 0.4,         1.244763e-07
                 0.5,          4.37647e-07
                 0.6,         9.886227e-07
                 0.7,         1.797997e-06
                 0.8,          2.92936e-06
                 0.9,         4.346429e-06
                   1,         5.760956e-06
                 1.1,         6.923249e-06
                 1.2,         8.052017e-06
                 1.3,         9.045704e-06
                 1.4,         9.987125e-06
                 1.5,         1.089472e-05

